incentive_level,retention
56.41790798651726,True
94.21280543883472,True
54.07867264638288,False
82.43032205408943,True
99.17051897352863,True
0.18898325917517944,False
4.7850397147724655,False
4.416043705537332,True
40.042764989374845,True
96.61432990118804,True
4.400632350138212,False
59.083695054113406,False
94.10660844332355,True
91.39172411467385,True
32.12339997679725,True
63.77656709608009,False
89.1757659605497,False
28.05664738572985,False
96.9270220601025,False
26.514434416788536,True
4.384629330391454,True
73.75632904867054,True
40.7066935034305,False
77.4185630556097,True
93.02927408404143,False
23.25318669665212,False
50.0992953238908,True
34.86776261717445,False
34.587779760833804,False
50.38131145439698,True
84.97717946387769,False
85.0589157691212,False
14.031756279245112,False
93.00868461874326,False
0.27982905141769043,True
20.399672811869085,False
80.36976329883966,True
90.55901350220883,True
48.389893918444095,True
99.58292218395782,True
57.206177020851726,True
69.61491650028057,False
70.15908023832309,True
51.49757252546857,True
92.13813746448352,True
68.8699522094339,True
85.28247541735232,False
69.97376849781159,True
50.53338742753765,True
78.0666773977674,False
47.09060463635567,False
81.77428621150918,True
21.819289353565186,False
55.03755708969673,True
64.42914199989616,False
96.3631683743779,True
54.88996649442799,True
18.58533663872618,False
81.82591012039035,False
10.85679086710245,False
12.056634798395693,False
42.4954654217852,False
0.6042080945313,False
83.48071317540544,True
31.843778913276488,False
41.66952026248729,False
53.71741265171208,False
17.666506607789255,False
93.27159193731663,False
51.1827197708659,True
56.22500062197712,True
60.619679841852204,True
46.03447031649169,False
33.59306498365753,False
2.479114655604897,False
0.21771583716623244,False
19.170587724616006,False
21.640471037828092,False
53.22485062392016,False
71.64185086878976,True
75.25910770604315,False
33.24252830258537,False
72.92366399936705,True
55.621197930512366,False
78.1100339714581,True
78.64821890624057,False
48.39373237015803,False
39.07352325529965,False
4.719713473223852,False
81.61105708877736,True
37.38001791388731,True
29.038553636800113,False
86.24862079497846,True
17.70222213882151,False
71.69927694637948,False
53.56802648866235,True
52.71484363112183,True
98.51660161459719,True
93.83953311604894,True
60.81916452393712,True
83.80376854170066,True
31.750433093533516,True
